ID  объявления,Количество комнат,Тип,Метро,Адрес,"Площадь, м2",Дом,Цена
311378174,"2, Изолированная",Квартира,м. Саларьево (12 мин пешком),"Москва, улица Саларьевская, 14к2, ш. Киевское (4 км до МКАД), ш. Сколковское (13 км до МКАД)",46.9/24.0/10.0,"3/15, Монолитный","79200.0 руб./ За месяц, Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
311703257,"2, Изолированная",Квартира,м. Улица Академика Янгеля (22 мин пешком),"Москва, Дорожная улица, 46к5",48.0/28.1/13.0,"33/33, Монолитный","85000.0 руб./ За месяц, Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
313077738,"2, Изолированная",Квартира,м. Ботанический сад (17 мин пешком),"Москва, Сельскохозяйственная улица, 35",37.2/24.0/6.0,"10/11, Монолитный","86900.0 руб./ За месяц, Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
316675681,3,Квартира,м. Дубровка (8 мин пешком),"Москва, Шарикоподшипниковская улица, 9",70.0,8/8,"90000.0 руб./ За месяц, Залог - 90000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
315238725,"2, Изолированная",Квартира,м. Саларьево (12 мин пешком),"Москва, улица Саларьевская, 14к2, ш. Киевское (4 км до МКАД), ш. Сколковское (13 км до МКАД)",69.9/38.5/11.0,"10/25, Панельный","94900.0 руб./ За месяц, Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
316450141,"2, Изолированная",Квартира,м. Саларьево (8 мин пешком),"Москва, улица Саларьевская, 8к2, ш. Киевское (3 км до МКАД), ш. Сколковское (13 км до МКАД)",53.5/27.0/10.0,"24/25, Монолитный","95000.0 руб./ За месяц, Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
315659812,"2, Изолированная",Квартира,м. Бутырская (9 мин пешком),"Москва, улица Добролюбова, 8к3",45.0/20.6/16.0,"13/33, Панельный","95000.0 руб./ За месяц, Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
314978797,"3, Изолированная",Квартира,м. Ховрино (19 мин пешком),"Москва, Ижорская улица, 6к6",79.5/42.0/22.0,"13/20, Монолитный","99900.0 руб./ За месяц, Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
316042265,2,Квартира,м. Площадь Ильича (6 мин пешком),"Москва, Библиотечная улица, 6",51.0/34.0/11.0,"6/12, Панельный","90000.0 руб./ За месяц, Залог - 90000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
316686931,"2, Изолированная",Квартира,м. Южная (7 мин пешком),"Москва, Сумская улица, 8К2",45.0/30.0,"5/9, Панельный","62000.0 руб./ За месяц, Залог - 62000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
